,Entity,Electricity from wind (TWh),Electricity from hydro (TWh),Electricity from solar (TWh),Electricity from other renewables including bioenergy (TWh)
72,Albania,0.0,5.28,0.03,0.0
825,Bhutan,0.0,8.95,0.0,0.0
1307,Central African Republic,0.0,0.15,0.0,0.0
1582,Costa Rica,1.46,8.29,0.06,1.71
1792,Democratic Republic of Congo,0.0,9.19,0.03,0.0
2204,Eswatini,0.0,0.16,0.0,0.46
2225,Ethiopia,0.53,13.56,0.02,0.03
3217,Iceland,0.01,13.16,0.0,5.96
3769,Kenya,1.16,3.52,0.11,5.11
3889,Kyrgyzstan,0.0,14.8,0.0,0.0
4011,Lesotho,0.0,0.5,0.0,0.0
4252,Malawi,0.0,1.3,0.05,0.02
4816,Namibia,0.0,0.95,0.05,0.0
4858,Nepal,0.01,3.0,0.08,0.0
5277,Norway,9.91,140.93,0.03,0.24
5553,Paraguay,0.0,49.34,0.0,0.0
6273,Sierra Leone,0.0,0.18,0.01,0.0
7008,Tajikistan,0.0,17.0,0.0,0.0
7362,Uganda,0.0,4.03,0.07,0.28
7973,Zambia,0.0,13.67,0.15,0.16
